disant	disolh	lar	com				
0.170	0.270	0.460	1.380				
0.170	0.230	0.410	1.440				
0.160	0.230	0.460	1.250				
0.160	0.240	0.430	1.350				
0.160	0.250	0.480	1.460				
0.170	0.250	0.460	1.210				
0.170	0.260	0.470	1.340				
0.160	0.250	0.430	1.280				
0.170	0.240	0.380	1.240				
0.170	0.260	0.460	1.360				
0.150	0.250	0.510	1.200				
0.160	0.260	0.480	1.450				
0.160	0.220	0.480	1.380				
0.170	0.270	0.450	1.270				
0.150	0.210	0.340	0.990				
0.160	0.240	0.460	1.230				
0.160	0.240	0.410	1.210				
0.160	0.260	0.470	1.050				
0.170	0.270	0.490	1.290				
0.150	0.260	0.520	1.360				
0.170	0.320	0.630	1.720				
0.170	0.250	0.470	1.380				
0.170	0.270	0.480	1.450				
0.170	0.260	0.510	1.420				
0.180	0.270	0.530	1.500				
0.200	0.320	0.680	1.700				
0.200	0.310	0.670	1.570				
0.200	0.330	0.710	1.570				
0.190	0.270	0.500	1.480				
0.180	0.260	0.460	1.370				
0.180	0.270	0.500	1.470				
0.170	0.260	0.480	1.330				
0.190	0.310	0.560	1.590				
0.180	0.260	0.460	1.370				
0.180	0.270	0.530	1.430				
0.200	0.330	0.720	1.680				
0.190	0.300	0.670	1.620				
0.180	0.270	0.500	1.390				
0.170	0.260	0.490	1.490				
0.180	0.270	0.620	1.320				
0.180	0.270	0.500	1.450				
0.180	0.250	0.510	1.230				
0.170	0.270	0.490	1.440				
0.180	0.270	0.530	1.260				
0.190	0.310	0.610	1.610				
0.180	0.260	0.470	1.410				
0.200	0.310	0.650	1.580				
0.180	0.260	0.460	1.370				
0.180	0.270	0.490	1.440				
0.180	0.260	0.510	1.320				
0.170	0.260	0.500	1.480				
0.210	0.310	0.670	1.680				
0.200	0.320	0.670	1.750				
0.200	0.310	0.670	1.610				
0.200	0.320	0.640	1.750				
0.190	0.310	0.610	1.800				
0.160	0.320	0.460	1.470				
0.180	0.310	0.590	1.780				
0.180	0.320	0.600	1.800				
0.200	0.310	0.660	1.590				
0.170	0.270	0.490	1.470				
0.200	0.320	0.650	1.820				
0.200	0.320	0.670	1.790				
0.160	0.320	0.440	1.500				
0.190	0.330	0.660	1.780				
0.170	0.250	0.440	1.470				
0.200	0.270	0.510	1.420				
0.200	0.320	0.670	1.740				
0.190	0.330	0.630	1.740				
0.180	0.310	0.660	1.670				
0.180	0.310	0.660	1.720				
0.190	0.320	0.620	1.860				
0.210	0.330	0.670	1.660				
0.180	0.290	0.540	1.690				
0.160	0.270	0.530	1.450				
0.180	0.320	0.580	1.710				
0.190	0.290	0.600	1.540				
0.190	0.320	0.630	1.820				
0.190	0.310	0.590	1.740				
0.200	0.330	0.580	1.830				
0.190	0.320	0.680	1.690				
0.190	0.310	0.670	1.650				
0.180	0.260	0.470	1.420				
0.230	0.370	0.790	2.080				
0.220	0.360	0.750	2.060				
0.230	0.370	0.790	2.350				
0.210	0.350	0.810	1.910				
0.200	0.310	0.610	1.820				
0.220	0.330	0.630	1.700				
0.200	0.290	0.620	1.810				
0.210	0.380	0.800	2.060				
0.200	0.310	0.540	1.510				
0.200	0.360	0.840	2.010				
0.190	0.300	0.580	1.800				
0.200	0.320	0.600	1.800				
0.190	0.330	0.540	1.630				
0.200	0.370	0.820	1.830				
0.200	0.320	0.600	1.570				
0.210	0.380	0.820	2.060				
0.220	0.360	0.730	1.800				
0.220	0.390	0.820	2.080				
0.240	0.390	0.860	1.980				
0.190	0.290	0.560	1.730				
0.230	0.380	0.850	2.070				
0.240	0.350	0.770	2.180				
0.180	0.290	0.550	1.520				
0.200	0.360	0.850	2.040				
0.200	0.340	0.600	1.730				
0.220	0.330	0.640	1.880				
0.220	0.320	0.550	1.680				
0.210	0.320	0.600	1.710				
0.230	0.450	0.280	2.440				
0.240	0.380	0.770	1.890				
0.200	0.320	0.590	1.720				
0.210	0.320	0.600	1.870				
0.210	0.370	0.830	2.030				
0.210	0.330	0.610	1.530				
0.190	0.310	0.600	1.880				
0.200	0.330	0.600	1.760				
0.210	0.330	0.610	1.820				
0.200	0.330	0.600	1.930				
0.200	0.330	0.620	1.820				
0.230	0.390	0.890	1.970				
0.210	0.380	0.760	2.110				
0.200	0.310	0.630	1.760				
0.210	0.340	0.640	1.940				
0.210	0.330	0.640	1.830				
0.210	0.330	0.570	1.880				
0.220	0.330	0.620	1.970				
0.200	0.330	0.630	1.810				
0.210	0.330	0.650	1.740				
0.190	0.320	0.640	1.850				
0.220	0.340	0.660	1.790				
0.190	0.330	0.590	1.900				
0.210	0.340	0.600	1.820				
0.200	0.330	0.560	1.810				
0.190	0.320	0.610	1.770				
0.190	0.320	0.630	1.870				
0.190	0.340	0.670	1.870				
0.200	0.330	0.620	1.890				
0.200	0.320	0.590	1.870				
0.230	0.390	0.870	2.170				
0.200	0.330	0.630	1.820				
0.200	0.320	0.600	1.830				
0.210	0.340	0.630	1.890				
0.210	0.340	0.640	1.830				
0.210	0.320	0.630	1.850				
0.210	0.380	0.800	1.990				
0.200	0.320	0.540	1.790				
0.190	0.310	0.640	1.800				
0.190	0.320	0.590	1.810				
0.200	0.330	0.650	1.770				
0.200	0.310	0.630	1.640				
0.210	0.340	0.630	1.860				
0.240	0.390	0.850	2.190				
0.230	0.380	0.730	2.110				
0.240	0.380	0.790	2.160				
0.230	0.370	0.710	2.280				
0.240	0.390	0.800	2.220				
0.230	0.370	0.800	2.090				
0.230	0.360	0.740	2.180				
0.220	0.360	0.770	2.110				
0.240	0.390	0.840	2.170				
0.230	0.390	0.720	1.830				
0.210	0.320	0.640	1.790				
0.220	0.320	0.600	1.870				
0.220	0.370	0.790	1.750				
0.220	0.370	0.770	2.280				
0.230	0.370	0.820	2.190				
0.210	0.340	0.790	1.980				
0.220	0.370	0.840	2.050				
0.230	0.360	0.880	1.890				
0.220	0.380	0.800	2.330				
0.240	0.420	0.990	2.810				
0.230	0.370	0.790	2.240				
0.220	0.360	0.750	1.970				
0.220	0.370	0.850	2.130				
0.220	0.360	0.830	1.860				
0.220	0.370	0.820	2.230				
0.230	0.370	0.820	2.090				
0.230	0.370	0.770	2.130				
0.220	0.380	0.940	1.990				
0.230	0.380	0.820	2.170				
0.220	0.350	0.780	2.170				
0.220	0.360	0.780	2.050				
0.220	0.360	0.850	2.050				
0.210	0.350	0.750	2.200				
0.250	0.400	0.790	2.280				
0.250	0.400	0.840	2.160				
0.230	0.390	0.760	2.220				
0.250	0.390	0.790	2.360				
0.240	0.390	0.780	2.430				
0.200	0.370	0.850	1.960				
0.250	0.390	0.930	2.070				
0.250	0.400	0.800	2.160				
0.280	0.470	1.180	2.630				
0.260	0.440	1.030	2.750				
0.220	0.370	0.750	2.240				
0.240	0.370	0.870	1.990				
0.250	0.390	0.800	2.260				
0.250	0.380	0.800	2.270				
0.260	0.400	0.790	2.250				
0.240	0.380	0.810	2.220				
